Title,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Key,Score_detected,Score_generic,Score_specific
symphony_1_1_(c)lucarelli.mid,2483744,175925,2020504,178775,1623119,1000451,383401,2714796,147145,813461,222727,1006875,12,0.0,0.09499938,0.09499938,0.0,0.12102218,0.12102218
symphony_1_2_(c)lucarelli.mid,769703,38510,119987,29271,289773,353614,39829,478408,27842,288148,149610,64968,12,0.0,0.120553955,0.120553955,0.0,0.12291374,0.12291374
symphony_1_3_(c)lucarelli.mid,1744525,381782,546952,155136,685233,589922,171928,1567322,198266,283528,212646,367704,12,0.0,0.1935561,0.1935561,0.0,0.2051015,0.2051015
symphony_1_4_(c)lucarelli.mid,1213793,60965,1171099,78961,635993,415823,148779,1431680,57154,341907,145386,534929,0,0.085504934,0.085504934,0.085504934,0.08958169,0.08958169,0.08958169
symphony_2_1_(c)lucarelli.mid,656629,1164040,4045918,273134,1946239,502116,1267436,937663,334235,3219791,277753,724788,2,0.15360636,0.15360636,0.15360636,0.2083437,0.2083437,0.2083437
symphony_2_2_(c)lucarelli.mid,130647,241439,215463,42171,711899,49522,147713,85635,219888,396726,44569,370769,4,0.24680126,0.22436722,0.22436722,0.27700582,0.27738753,0.27738753
symphony_2_3_(c)lucarelli.mid,125424,324947,1828627,62844,538718,293523,543571,315242,116081,1251546,370860,168298,2,0.19487868,0.19487868,0.19487868,0.19681528,0.19681528,0.19681528
symphony_2_4_(c)lucarelli.mid,457010,938280,3192147,83100,1278379,288263,1338566,1054900,260520,2719286,225997,778992,2,0.11635628,0.11635628,0.11635628,0.13933109,0.13933109,0.13933109
symphony_3_1.mid,580032,179520,499050,1165824,222632,780288,253920,828736,554112,259072,1529184,206368,3,0.18889494,0.18889494,0.18889494,0.17029557,0.17029557,0.17029557
symphony_3_2.mid,341013,21120,127102,126010,59698,145348,25888,340954,111412,28044,66628,82287,0,0.31220528,0.17246142,0.17246142,0.29648027,0.19992119,0.19992119
symphony_3_3.mid,244224,86784,271488,745728,17280,247680,29952,344256,263040,56448,729216,34560,3,0.07907698,0.07907698,0.07907698,0.078816995,0.078816995,0.078816995
symphony_3_4.mid,211072,38464,286842,441936,34240,221616,79968,414736,191120,108024,633456,46688,3,0.12803516,0.12803516,0.12803516,0.14341085,0.14341085,0.14341085
symphony_4_1_(c)lucarelli.mid,3348099,556258,2106912,1041017,846109,3766692,332195,1313367,275255,1764367,4094278,298767,10,0.13241294,0.13241294,0.13241294,0.13231383,0.13231383,0.13231383
symphony_4_2_(c)lucarelli.mid,113878,32043,154897,411043,20011,297922,35415,199030,204860,30354,515725,51539,3,0.08926216,0.19959265,0.08926216,0.09132037,0.18850365,0.09132037
symphony_4_3_(c)lucarelli.mid,1053652,223185,1204495,980048,134239,2791793,246015,477331,261434,1071685,2643718,64158,10,0.09087902,0.09087902,0.09087902,0.11116178,0.11116178,0.11116178
symphony_4_4_(c)lucarelli.mid,1019582,116546,590899,471428,247756,1597754,62729,531728,180340,563300,1210786,207619,5,0.18026677,0.13616124,0.13616124,0.17118447,0.13743682,0.13743682
symphony_5_1_(c)unknown.mid,2145536,161280,1094144,1496320,245760,1303040,380928,2246656,720384,465408,814592,501248,0,0.44658795,0.17866638,0.17866638,0.4590005,0.17015274,0.17015274
symphony_5_2_(c)unknown.mid,622041,152222,42712,526567,221570,131490,31872,322333,397435,20352,184433,55126,12,0.0,0.21604833,0.21604833,0.0,0.19161859,0.19161859
symphony_5_3_cunknown.mid,1627904,89088,738816,380416,343552,749568,195072,1804288,422656,166656,520192,436992,0,0.27394092,0.19721197,0.19721197,0.23691723,0.25409994,0.25409994
symphony_5_4_(c)unknown.mid,6641870,254806,3516667,276994,3560207,2513405,505345,5531305,486908,1156426,414638,2183012,12,0.0,0.39520586,0.07722979,0.0,0.43002573,0.07652043
symphony_6_1_ccvikl.mid,2551028,22834,792437,57346,803368,1766937,104559,1292554,96248,1126950,653536,387040,12,0.0,0.07433416,0.07433416,0.0,0.069148205,0.069148205
symphony_6_2_ccvikl.mid,1112816,61354,902402,432554,221934,1621566,101349,660223,91886,644535,1446085,144153,10,0.091005795,0.12577175,0.091005795,0.11002216,0.13924605,0.11002216
symphony_6_3_ccvikl.mid,629437,19503,276753,12332,205146,598139,55901,320911,0,518996,148604,36518,5,0.046054352,0.046054352,0.046054352,0.05977131,0.05977131,0.05977131
symphony_6_4_(nc)wittenburg.mid,949312,536512,227456,412032,230048,882496,338912,880832,694696,448896,604440,175872,12,0.0,0.51095873,0.51095873,0.0,0.54199946,0.54199946
symphony_6_5_(nc)wittenburg.mid,1998944,30976,568384,105920,645280,1859104,42144,1383232,30368,1641888,698336,195904,5,0.046083488,0.046083488,0.046083488,0.05975124,0.05975124,0.05975124
symphony_7_1_(c)cvikl.mid,907327,1216426,1228301,243712,3736242,568833,669579,744743,673920,2883827,235293,1183074,9,0.232924,0.232924,0.232924,0.23281321,0.23281321,0.23281321
symphony_7_2_(c)cvikl.mid,371942,173104,311550,37781,1104495,85730,182878,284311,170794,773827,34218,398338,9,0.26131162,0.26131162,0.1798019,0.26124063,0.26124063,0.1908412
symphony_7_3_(c)cvikl.mid,988922,381673,945232,96716,1140004,1763964,425572,960228,118583,2763578,441132,229238,12,0.0,0.7080358,0.13903962,0.0,0.8243049,0.13104396
symphony_7_4_(c)cvikl.mid,381082,827122,849052,237758,2306615,329878,443146,485479,477244,1581255,166022,682053,9,0.22329196,0.22329196,0.22329196,0.21346776,0.21346776,0.21346776
symphony_8_1_(c)lucarelli.mid,2961626,257546,1085338,277098,844933,3190078,114745,1359398,515498,1324021,840599,383123,5,0.13338023,0.13338023,0.13338023,0.14842561,0.14842561,0.14842561
symphony_8_2_(c)lucarelli.mid,118803,1713,115143,66485,15319,236858,3797,67440,16873,58950,204803,2479,10,0.046265785,0.1117646,0.046265785,0.056237027,0.11029558,0.056237027
symphony_8_3_(c)lucarelli.mid,1251214,40843,154326,143701,250133,793433,7433,417579,23641,396655,263442,77623,12,0.0,0.0831469,0.0831469,0.0,0.08039287,0.08039287
symphony_8_4_(c)lucarelli.mid,2621749,587149,1074069,387019,1063552,3494465,352806,1869238,353418,2636630,1170203,302480,12,0.0,0.1423464,0.1423464,0.0,0.14019102,0.14019102
symphony_9_1_(c)cvikl.mid,653713,303737,2988684,314001,791186,1256480,352887,1026926,175123,2371838,1004546,237654,2,0.42164004,0.13706042,0.13706042,0.41269764,0.16397701,0.16397701
symphony_9_2_(c)cvikl.mid,905947,321500,2908595,249144,1232745,1531650,425827,1397363,153200,2633085,703579,415231,2,0.37962165,0.13832821,0.13832821,0.41423717,0.12884216,0.12884216
symphony_9_3_(c)cvikl.mid,663630,105905,799538,645374,146797,1569931,222099,435725,60922,619261,1176619,103845,10,0.10821651,0.21031965,0.10821651,0.11842972,0.216681,0.11842972
symphony_9_4_(c)cvikl.mid,827930,1394945,3751324,483400,2726923,901847,2782301,2090507,394074,4821341,949039,1600809,2,0.18553121,0.4141867,0.18553121,0.17466117,0.4285886,0.17466117
